,img_path,source,refer_type,weight,paper_l,paper_w,paper_a,paper_angle,paper_dip,body_l,body_l_j,body_h,body_h_j,forebody_w,hindbody_w,heart_girth,heart_girth_j,waist,legs_d,legs_d_j,chest_waist_d,chest_waist_d_j,trunk_a,trunk_legs_a,chest_waist_a,hexagon_a,hexagon_head_a,hexagon_chest_a,hexagon_back_a,hexagon_ass_a,nose_chest_dr,chest_waist_dr
175,58,picc,A4,71.8,0.297,0.21,0.062369999999999995,1.4406571482861652,0.75,1.47,1.37,0.56,0.6,0.31,0.22,0.33,0.38,0.35,0.71,0.66,0.47,0.47,0.49,0.23,0.16,0.2986,0.113,0.0775,0.0782,0.03,0.54,1.06
176,100,picc,A4,57.2,0.297,0.21,0.062369999999999995,1.5268754982782802,0.93,1.13,1.11,0.55,0.56,0.27,0.19,0.3,0.31,0.27,0.51,0.5,0.33,0.33,0.34,0.15,0.1,0.2111,0.0894,0.05,0.0536,0.0182,0.57,1.03
177,23,picc,A4,49.3,0.297,0.21,0.062369999999999995,1.6020875926172407,0.83,1.17,1.12,0.55,0.58,0.25,0.17,0.26,0.29,0.27,0.55,0.52,0.35,0.35,0.3,0.14,0.09,0.1915,0.0756,0.0447,0.052,0.0192,0.55,1.09
178,74,picc,A4,63.5,0.297,0.21,0.062369999999999995,1.5704434233767588,0.78,1.12,1.05,0.55,0.59,0.28,0.18,0.28,0.32,0.31,0.51,0.48,0.31,0.31,0.31,0.14,0.09,0.1955,0.0825,0.0434,0.0506,0.019,0.57,0.85
179,10061,picc,A4,18.65,0.297,0.21,0.062369999999999995,1.6590564170218314,1.04,0.77,0.78,0.4,0.4,0.18,0.18,0.21,0.21,0.19,0.44,0.44,0.34,0.34,0.16,0.09,0.07,0.1141,0.0287,0.0343,0.0398,0.0112,0.41,1.69
180,62,picc,A4,87.65,0.297,0.21,0.062369999999999995,1.5758046321652397,1.0,1.28,1.28,0.72,0.72,0.34,0.24,0.36,0.36,0.29,0.52,0.52,0.3,0.3,0.46,0.19,0.11,0.2666,0.1214,0.0526,0.0591,0.0335,0.57,0.83
181,182,picc,A4,52.95,0.297,0.21,0.062369999999999995,1.5586492080466996,1.05,1.04,1.05,0.55,0.54,0.29,0.25,0.3,0.29,0.25,0.64,0.65,0.47,0.47,0.31,0.19,0.14,0.2159,0.0532,0.0713,0.0669,0.0245,0.44,1.63
182,03EBCA2B4E114FFA89CC78E9E9D3DB8E,am,A4,10.0,0.297,0.21,0.062369999999999995,1.5226639742139354,1.0,0.93,0.93,0.49,0.49,0.23,0.16,0.26,0.26,0.23,0.55,0.55,0.36,0.36,0.24,0.14,0.09,0.1636,0.0496,0.0473,0.0446,0.0221,0.42,1.35
183,0AD7EE02D7EB456FBED12D84316D50E2,am,A4,90.0,0.297,0.21,0.062369999999999995,1.4968942876725133,1.12,0.97,1.0,0.5,0.49,0.31,0.28,0.31,0.29,0.27,0.53,0.55,0.32,0.32,0.3,0.16,0.1,0.1953,0.0605,0.0494,0.0685,0.017,0.44,1.18
184,1B9374CE0C9E4A0EBA0DDB030B3F5E44,am,A4,47.5,0.297,0.21,0.062369999999999995,1.5936848686918272,1.12,1.02,1.05,0.62,0.6,0.25,0.27,0.29,0.27,0.28,0.61,0.63,0.4,0.4,0.3,0.18,0.12,0.2135,0.0516,0.0575,0.0693,0.035,0.39,1.55
185,0A014E868B9F4F9CA7BB5A671DDB3E50,am,A4,63.0,0.297,0.21,0.062369999999999995,1.5405025668761219,0.96,1.18,1.17,0.66,0.67,0.31,0.24,0.34,0.35,0.3,0.61,0.6,0.35,0.35,0.4,0.21,0.12,0.247,0.0847,0.0591,0.071,0.0321,0.51,1.02
186,63234948C20B4EF485DCC17360973BB0,am,A4,32.0,0.297,0.21,0.062369999999999995,1.5716261491500632,1.06,0.98,0.99,0.5,0.49,0.2,0.23,0.3,0.29,0.28,0.56,0.57,0.32,0.32,0.29,0.17,0.1,0.1998,0.0571,0.0474,0.0598,0.0355,0.42,1.12
187,0A2DC05C4B084AF58BBE938D3AD33B62,am,A4,100.0,0.297,0.21,0.062369999999999995,1.6076388304509737,0.89,1.46,1.42,0.75,0.77,0.33,0.23,0.38,0.4,0.37,0.99,0.96,0.74,0.74,0.55,0.38,0.28,0.3852,0.1121,0.1385,0.1059,0.0287,0.46,1.74
188,5901358241BD4280BBA8C6CB2F30F4C2,am,A4,85.0,0.297,0.21,0.062369999999999995,1.4967371024824343,1.15,0.92,0.95,0.41,0.4,0.29,0.25,0.28,0.26,0.23,0.5,0.52,0.34,0.34,0.26,0.14,0.1,0.177,0.0554,0.0475,0.0564,0.0177,0.5,1.38
189,0D524A6153F04B908140EBFDA4DCD62F,am,A4,29.5,0.297,0.21,0.062369999999999995,1.5441410635859258,0.97,0.83,0.82,0.37,0.37,0.14,0.17,0.2,0.2,0.21,0.51,0.51,0.3,0.3,0.17,0.1,0.06,0.1136,0.0329,0.0292,0.0343,0.0171,0.41,1.45
190,0A2761755B284A20A42C5839A227C870,am,A4,77.5,0.297,0.21,0.062369999999999995,1.5707963267948966,1.03,1.17,1.18,0.65,0.65,0.27,0.22,0.31,0.31,0.29,0.74,0.75,0.45,0.45,0.36,0.23,0.14,0.2517,0.0758,0.0711,0.0705,0.0344,0.44,1.48
191,0B0C0877E6A34048A7063C0211696C97,am,A4,45.0,0.297,0.21,0.062369999999999995,1.5331662934695103,1.13,0.88,0.91,0.45,0.44,0.22,0.21,0.26,0.24,0.22,0.57,0.59,0.43,0.43,0.23,0.15,0.11,0.167,0.0318,0.0546,0.0577,0.0229,0.3,1.88
192,154633749008e133c7d004461c8289701f50f962a5,am,A4,35.0,0.297,0.21,0.062369999999999995,1.5092958972751578,1.02,1.26,1.27,0.63,0.63,0.26,0.28,0.36,0.36,0.38,0.89,0.89,0.49,0.49,0.45,0.32,0.18,0.3311,0.0804,0.0879,0.1045,0.0583,0.37,1.37
193,053FA27320314B73BDABCF4FFA5B153C,am,A4,76.5,0.297,0.21,0.062369999999999995,1.428024381775286,1.19,1.22,1.27,0.75,0.72,0.31,0.28,0.39,0.36,0.34,0.85,0.89,0.57,0.57,0.48,0.33,0.22,0.3531,0.0706,0.1104,0.1088,0.0632,0.31,1.75
194,0A4D742508E24F45A33858006DC93BAA,am,A4,50.0,0.297,0.21,0.062369999999999995,1.557624817092261,1.01,0.95,0.95,0.37,0.37,0.26,0.28,0.28,0.28,0.28,0.59,0.59,0.37,0.37,0.27,0.17,0.1,0.1865,0.04,0.049,0.0699,0.0276,0.4,1.34
195,5F2AAFC751A3402C8531E33C2946D20B,am,A4,76.5,0.297,0.21,0.062369999999999995,1.5685792321658243,1.06,1.21,1.23,0.61,0.6,0.27,0.22,0.34,0.33,0.3,0.78,0.79,0.52,0.52,0.41,0.27,0.18,0.2844,0.0695,0.0849,0.0905,0.0395,0.4,1.63
196,1129C965122242F8899E4477D5F6E5A5,am,A4,35.0,0.297,0.21,0.062369999999999995,1.6470223665905026,1.11,0.98,1.01,0.59,0.57,0.19,0.21,0.27,0.26,0.22,0.52,0.53,0.33,0.33,0.26,0.14,0.09,0.1717,0.0601,0.0456,0.0465,0.0196,0.51,1.35
197,1F1C81AB44DC4594973240B63026F41D,am,A4,75.0,0.297,0.21,0.062369999999999995,1.4786072638568102,0.99,1.18,1.18,0.46,0.46,0.3,0.26,0.34,0.34,0.31,0.68,0.68,0.46,0.46,0.4,0.23,0.16,0.2565,0.0768,0.0781,0.0871,0.0144,0.41,1.36
198,05AF5433F33D4A9CA5E343CA8AB4DA32,am,A4,30.0,0.297,0.21,0.062369999999999995,1.6135535146342754,1.06,0.81,0.82,0.4,0.39,0.15,0.14,0.23,0.22,0.21,0.49,0.5,0.29,0.29,0.19,0.11,0.07,0.1233,0.038,0.0326,0.0357,0.0171,0.46,1.37
199,0BA0C6EF2F6545A8B57C2077F6115895,am,A4,35.0,0.297,0.21,0.062369999999999995,1.6215826641340059,1.03,0.89,0.9,0.5,0.5,0.21,0.22,0.25,0.25,0.26,0.53,0.53,0.35,0.35,0.22,0.13,0.09,0.1657,0.0374,0.0426,0.0602,0.0254,0.37,1.46
200,1546337499afcd3e7f690e40b3945395ccaa49edb4,am,A4,35.0,0.297,0.21,0.062369999999999995,1.468975009003159,0.98,1.26,1.25,0.6,0.6,0.24,0.25,0.37,0.37,0.38,0.88,0.88,0.48,0.48,0.47,0.33,0.18,0.3257,0.0762,0.0869,0.1014,0.0613,0.38,1.28
201,0AE8D2AF2E084C54884CED2A802C7215,am,A4,65.0,0.297,0.21,0.062369999999999995,1.5338876350804476,1.15,0.96,0.99,0.46,0.44,0.16,0.18,0.27,0.25,0.23,0.66,0.68,0.39,0.39,0.26,0.18,0.11,0.1828,0.0459,0.0528,0.0566,0.0275,0.37,1.63
202,15463314537555c185043a417fb3fb2ede8918ab40,am,A4,24.0,0.297,0.21,0.062369999999999995,1.4948620965789865,1.01,0.86,0.86,0.41,0.41,0.18,0.16,0.24,0.24,0.22,0.57,0.57,0.33,0.33,0.21,0.14,0.08,0.1363,0.0415,0.0391,0.0376,0.018,0.47,1.42
203,1EDCDD2DC80446479372F20DAE8058D6,am,A4,65.0,0.297,0.21,0.062369999999999995,1.5635341589586305,1.02,0.96,0.96,0.5,0.5,0.21,0.21,0.29,0.29,0.27,0.54,0.54,0.27,0.27,0.28,0.16,0.08,0.1842,0.0567,0.0369,0.0607,0.0298,0.45,0.98
204,0D85B984AEE04AE7AD0E46BE7E3917B0,am,A4,80.0,0.297,0.21,0.062369999999999995,1.5462471711032546,1.06,1.01,1.02,0.48,0.47,0.19,0.18,0.26,0.25,0.26,0.74,0.75,0.54,0.54,0.26,0.19,0.14,0.2132,0.0308,0.0709,0.0841,0.0274,0.28,2.21
205,0BF6B69514074D63B29F5E0495C8A89B,am,A4,107.5,0.297,0.21,0.062369999999999995,1.6180430614245145,0.92,1.25,1.22,0.47,0.48,0.17,0.25,0.33,0.34,0.42,0.88,0.86,0.58,0.58,0.41,0.29,0.19,0.3329,0.0663,0.0975,0.124,0.0452,0.34,1.62
